id,true_positives,true_negatives,false_positives,false_negatives,test_affirmation,test_effectiveness,accuracy,Correct_crt-widgets,Correct_crt-orchard,Correct_crt-eraser,Correct_sortDescending,Correct_isPalindrome,TestCase_sortDescending,CRT Total,Inspection Total
30,140,121,39,27,0.838323353,0.75625,0.798165138,1,1,1,1,0,1,1,0.666666667
31,107,136,24,60,0.640718563,0.85,0.743119266,1,1,1,0,1,0,1,0.333333333
32,167,0,160,0,1,0,0.510703364,0,1,0,0,0,0,0.333333333,0
33,147,130,30,20,0.880239521,0.8125,0.847094801,1,1,0,0,0,0,0.666666667,0
34,118,94,66,49,0.706586826,0.5875,0.648318043,1,1,1,0,1,0,1,0.333333333
35,93,132,28,74,0.556886228,0.825,0.688073394,1,1,1,1,0,0,1,0.333333333
36,147,144,16,20,0.880239521,0.9,0.889908257,0,1,1,1,1,1,0.666666667,1
37,145,130,30,22,0.868263473,0.8125,0.840978593,0,1,1,1,1,1,0.666666667,1
38,143,144,16,24,0.856287425,0.9,0.877675841,1,1,1,1,1,1,1,1
39,118,149,11,49,0.706586826,0.93125,0.816513761,0,0,1,1,1,1,0.333333333,1
40,140,124,36,27,0.838323353,0.775,0.80733945,1,1,1,1,1,1,1,1
41,102,152,8,65,0.610778443,0.95,0.77675841,1,1,1,1,1,1,1,1
42,109,106,54,58,0.652694611,0.6625,0.657492355,1,1,1,1,1,1,1,1
43,113,147,13,54,0.676646707,0.91875,0.795107034,1,1,0,1,1,1,0.666666667,1
44,142,107,53,25,0.850299401,0.66875,0.76146789,1,1,1,1,0,0,1,0.333333333
45,166,29,131,1,0.994011976,0.18125,0.596330275,1,1,0,1,1,1,0.666666667,1
46,139,141,19,28,0.832335329,0.88125,0.856269113,1,1,0,1,0,1,0.666666667,0.666666667
47,137,143,17,30,0.820359281,0.89375,0.856269113,1,1,1,1,1,1,1,1
48,106,138,22,61,0.634730539,0.8625,0.74617737,1,1,1,1,1,1,1,1
49,167,3,157,0,1,0.01875,0.519877676,1,1,1,1,0,1,1,0.666666667
50,94,45,115,73,0.562874251,0.28125,0.425076453,0,1,1,1,0,0,0.666666667,0.333333333
51,83,134,26,84,0.497005988,0.8375,0.663608563,1,1,1,1,1,1,1,1
52,142,137,23,25,0.850299401,0.85625,0.853211009,1,1,1,1,0,1,1,0.666666667
53,105,156,4,62,0.628742515,0.975,0.798165138,1,1,1,1,0,0,1,0.333333333
54,148,133,27,19,0.886227545,0.83125,0.859327217,1,1,1,1,0,1,1,0.666666667
55,159,80,80,8,0.952095808,0.5,0.73088685,1,1,0,1,0,1,0.666666667,0.666666667
56,152,131,29,15,0.910179641,0.81875,0.865443425,0,0,0,0,0,0,0,0
57,112,137,23,55,0.670658683,0.85625,0.76146789,1,1,1,1,1,1,1,1
58,84,137,23,83,0.502994012,0.85625,0.675840979,1,1,1,1,0,1,1,0.666666667
59,143,111,49,24,0.856287425,0.69375,0.77675841,1,1,1,1,0,1,1,0.666666667
60,151,21,139,16,0.904191617,0.13125,0.525993884,1,1,1,1,1,1,1,1
61,139,116,44,28,0.832335329,0.725,0.779816514,1,1,1,1,0,1,1,0.666666667
62,121,119,41,46,0.724550898,0.74375,0.733944954,1,1,1,1,0,1,1,0.666666667
63,138,96,64,29,0.826347305,0.6,0.71559633,1,1,0,1,1,1,0.666666667,1
64,143,135,25,24,0.856287425,0.84375,0.850152905,0,0,1,0,1,0,0.333333333,0.333333333
65,167,0,160,0,1,0,0.510703364,0,1,0,0,0,0,0.333333333,0
66,146,76,84,21,0.874251497,0.475,0.678899083,0,1,1,0,1,0,0.666666667,0.333333333
67,136,95,65,31,0.814371257,0.59375,0.706422018,1,1,1,1,1,1,1,1
68,111,68,92,56,0.664670659,0.425,0.547400612,0,1,1,0,0,0,0.666666667,0
69,116,113,47,51,0.694610778,0.70625,0.70030581,0,1,1,1,1,0,0.666666667,0.666666667
70,119,119,41,48,0.71257485,0.74375,0.727828746,0,0,1,1,1,1,0.333333333,1
71,38,89,71,129,0.22754491,0.55625,0.388379205,1,1,1,0,0,0,1,0
72,146,72,88,21,0.874251497,0.45,0.666666667,1,1,0,0,0,0,0.666666667,0
73,103,131,29,64,0.616766467,0.81875,0.71559633,1,1,1,1,1,1,1,1
74,156,108,52,11,0.934131737,0.675,0.80733945,0,1,0,1,0,0,0.333333333,0.333333333
75,155,81,79,12,0.928143713,0.50625,0.721712538,0,0,0,0,1,0,0,0.333333333
76,81,141,19,86,0.48502994,0.88125,0.678899083,1,1,1,1,1,1,1,1
77,154,62,98,13,0.922155689,0.3875,0.660550459,0,0,0,1,0,1,0,0.666666667
78,134,147,13,33,0.80239521,0.91875,0.859327217,0,1,1,1,0,1,0.666666667,0.666666667
79,145,70,90,22,0.868263473,0.4375,0.657492355,1,1,1,0,0,0,1,0
80,84,144,16,83,0.502994012,0.9,0.697247706,1,1,1,1,1,1,1,1
81,163,1,159,4,0.976047904,0.00625,0.501529052,1,1,1,1,0,1,1,0.666666667
82,94,108,52,73,0.562874251,0.675,0.617737003,1,1,1,1,1,1,1,1
83,98,145,15,69,0.586826347,0.90625,0.743119266,1,1,1,1,1,0,1,0.666666667
84,154,92,68,13,0.922155689,0.575,0.752293578,1,1,0,1,1,1,0.666666667,1
85,147,117,43,20,0.880239521,0.73125,0.80733945,1,1,1,1,1,0,1,0.666666667
86,101,129,31,66,0.604790419,0.80625,0.703363914,1,1,1,1,1,1,1,1
87,73,148,12,94,0.437125749,0.925,0.675840979,0,0,0,0,1,0,0,0.333333333
88,106,144,16,61,0.634730539,0.9,0.764525994,1,1,1,1,1,1,1,1
89,118,132,28,49,0.706586826,0.825,0.764525994,1,1,1,1,1,1,1,1
90,120,116,44,47,0.718562874,0.725,0.721712538,1,1,1,1,0,0,1,0.333333333
91,120,116,44,47,0.718562874,0.725,0.721712538,0,1,1,1,0,1,0.666666667,0.666666667
92,120,82,78,47,0.718562874,0.5125,0.617737003,0,0,0,1,0,1,0,0.666666667
93,155,106,54,12,0.928143713,0.6625,0.798165138,1,1,0,0,0,0,0.666666667,0
94,119,147,13,48,0.71257485,0.91875,0.813455657,1,1,0,1,0,1,0.666666667,0.666666667
95,119,113,47,48,0.71257485,0.70625,0.709480122,1,1,1,1,0,1,1,0.666666667
96,109,152,8,58,0.652694611,0.95,0.798165138,1,1,1,1,1,1,1,1
97,110,142,18,57,0.658682635,0.8875,0.770642202,1,1,1,1,1,1,1,1
98,145,86,74,22,0.868263473,0.5375,0.706422018,0,1,0,0,1,0,0.333333333,0.333333333
99,104,82,78,63,0.622754491,0.5125,0.568807339,0,1,1,1,1,0,0.666666667,0.666666667
100,167,0,160,0,1,0,0.510703364,1,1,0,0,0,0,0.666666667,0
101,109,132,28,58,0.652694611,0.825,0.737003058,1,1,1,1,0,0,1,0.333333333
102,119,104,56,48,0.71257485,0.65,0.681957187,1,1,1,1,1,1,1,1
